sample_id,timestamp,species,behavior,latitude,longitude,temperature,weather,vegetation_type,time_of_day
S0257,2025-05-23 19:48:00,Boar,Grazing,24.40169,78.48695,27.2,Sunny,Savanna,Evening
S0258,2025-05-16 12:56:00,Rabbit,Alert,24.51354,78.67266,32.9,Rainy,Grassland,Morning
S0259,2025-05-20 02:42:00,Tiger,Socializing,24.66651,78.58157,23.8,Windy,Forest,Morning
S0260,2025-05-18 12:16:00,Wolf,Hunting,24.41862,78.58281,33.9,Cloudy,Grassland,Night
S0261,2025-05-21 07:54:00,Tiger,Grazing,24.5989,78.33393,26.8,Rainy,Grassland,Morning
S0262,2025-05-04 15:43:00,Fox,Alert,24.35841,78.56516,26.1,Foggy,Desert,Night
S0263,2025-05-14 15:57:00,Elephant,Resting,24.57533,78.53326,22.7,Foggy,Grassland,Morning
S0264,2025-05-16 21:11:00,Boar,Grazing,24.60411,78.47249,34.0,Foggy,Desert,Morning
S0265,2025-05-04 01:49:00,Wolf,Alert,24.56593,78.32164,19.2,Windy,Wetland,Morning
S0266,2025-05-04 17:48:00,Boar,Resting,24.44904,78.32849,31.9,Sunny,Desert,Afternoon
S0267,2025-05-02 08:29:00,Peacock,Running,24.41217,78.66956,21.5,Sunny,Grassland,Afternoon
S0268,2025-05-02 10:27:00,Wolf,Resting,24.69429,78.372,30.4,Windy,Forest,Evening
S0269,2025-05-28 02:49:00,Deer,Alert,24.45979,78.66489,25.3,Cloudy,Wetland,Morning
S0270,2025-05-29 02:17:00,Peacock,Playing,24.51198,78.39929,32.4,Rainy,Savanna,Night
S0271,2025-05-14 10:16:00,Rabbit,Socializing,24.37101,78.61913,28.9,Foggy,Savanna,Night
S0272,2025-05-23 02:01:00,Leopard,Playing,24.66629,78.63672,31.6,Foggy,Desert,Morning
S0273,2025-05-23 04:53:00,Rabbit,Grazing,24.66551,78.48318,20.4,Sunny,Savanna,Night
S0274,2025-05-08 07:25:00,Monkey,Running,24.34702,78.52501,27.9,Foggy,Savanna,Afternoon
S0275,2025-05-27 01:30:00,Boar,Running,24.61168,78.45423,20.3,Foggy,Desert,Morning
S0276,2025-05-04 00:01:00,Leopard,Hunting,24.59601,78.3294,31.2,Windy,Savanna,Night
S0277,2025-05-10 07:47:00,Leopard,Resting,24.37162,78.48477,23.5,Cloudy,Wetland,Afternoon
S0278,2025-05-10 16:52:00,Wolf,Running,24.34264,78.6094,19.2,Sunny,Grassland,Night
S0279,2025-05-07 07:36:00,Fox,Socializing,24.43503,78.36454,26.2,Windy,Desert,Afternoon
S0280,2025-05-12 10:40:00,Tiger,Grazing,24.6251,78.63581,23.4,Cloudy,Forest,Morning
S0281,2025-05-08 00:02:00,Rabbit,Running,24.49475,78.58021,24.2,Windy,Desert,Evening
S0282,2025-05-26 09:35:00,Tiger,Running,24.61427,78.39041,20.3,Sunny,Desert,Night
S0283,2025-05-23 17:02:00,Deer,Socializing,24.4184,78.502,27.0,Foggy,Wetland,Evening
S0284,2025-05-12 23:23:00,Peacock,Grazing,24.53863,78.60453,21.7,Cloudy,Grassland,Afternoon
S0285,2025-05-29 15:35:00,Leopard,Playing,24.31963,78.59409,23.0,Windy,Grassland,Evening
S0286,2025-05-23 14:59:00,Tiger,Alert,24.57648,78.69389,19.8,Rainy,Forest,Morning
S0287,2025-05-30 11:10:00,Monkey,Running,24.55993,78.46212,34.1,Foggy,Grassland,Afternoon
S0288,2025-05-01 08:25:00,Deer,Resting,24.52434,78.61836,22.2,Rainy,Savanna,Evening
S0289,2025-05-30 14:35:00,Rabbit,Running,24.51888,78.68725,19.9,Foggy,Desert,Afternoon
S0290,2025-05-10 23:43:00,Rabbit,Resting,24.46351,78.5763,33.8,Rainy,Grassland,Afternoon
S0291,2025-05-28 08:00:00,Wolf,Socializing,24.37622,78.6206,19.4,Windy,Grassland,Morning
S0292,2025-05-12 07:10:00,Peacock,Grazing,24.57517,78.38208,34.2,Cloudy,Grassland,Afternoon
S0293,2025-05-18 07:10:00,Leopard,Running,24.46347,78.40257,19.6,Rainy,Desert,Evening
S0294,2025-05-06 07:04:00,Rabbit,Running,24.46954,78.65172,32.4,Cloudy,Grassland,Afternoon
S0295,2025-05-16 12:35:00,Deer,Playing,24.44607,78.38786,20.5,Sunny,Wetland,Evening
S0296,2025-05-29 13:20:00,Tiger,Hunting,24.38376,78.58186,32.0,Sunny,Wetland,Night
S0297,2025-05-11 00:23:00,Tiger,Alert,24.47411,78.64019,30.2,Cloudy,Savanna,Evening
S0298,2025-05-29 13:31:00,Fox,Running,24.49563,78.61902,25.1,Rainy,Forest,Morning
S0299,2025-05-18 17:01:00,Peacock,Alert,24.68213,78.53022,33.4,Windy,Forest,Afternoon
S0300,2025-05-01 08:33:00,Deer,Socializing,24.30692,78.59295,32.0,Rainy,Wetland,Morning
S0301,2025-05-13 21:49:00,Deer,Socializing,24.32591,78.3198,28.8,Cloudy,Desert,Night
S0302,2025-05-15 00:14:00,Fox,Hunting,24.35668,78.3328,30.9,Windy,Savanna,Night
S0303,2025-05-15 05:33:00,Peacock,Hunting,24.62301,78.33518,25.3,Rainy,Grassland,Night
S0304,2025-05-28 18:44:00,Leopard,Alert,24.47804,78.68374,24.2,Rainy,Savanna,Evening
S0305,2025-05-15 23:26:00,Boar,Playing,24.62986,78.6273,28.5,Foggy,Desert,Morning
S0306,2025-05-24 10:26:00,Monkey,Grazing,24.46011,78.34158,30.2,Windy,Grassland,Evening
S0307,2025-05-24 12:31:00,Wolf,Alert,24.45826,78.4506,21.2,Foggy,Desert,Night
S0308,2025-05-10 01:30:00,Monkey,Hunting,24.63008,78.67405,20.5,Cloudy,Desert,Afternoon
S0309,2025-05-17 20:28:00,Rabbit,Resting,24.48246,78.39569,22.1,Cloudy,Wetland,Morning
S0310,2025-05-03 15:04:00,Boar,Running,24.31628,78.63525,29.3,Sunny,Grassland,Afternoon
S0311,2025-05-15 11:56:00,Fox,Socializing,24.37605,78.32682,29.2,Foggy,Savanna,Morning
S0312,2025-05-13 05:19:00,Boar,Playing,24.59882,78.6727,24.1,Rainy,Grassland,Evening
S0313,2025-05-12 12:11:00,Deer,Playing,24.49761,78.62005,20.7,Rainy,Savanna,Night
S0314,2025-05-28 02:06:00,Boar,Resting,24.38859,78.49088,23.7,Foggy,Wetland,Evening
S0315,2025-05-02 12:10:00,Leopard,Running,24.41709,78.67703,32.7,Foggy,Forest,Afternoon
S0316,2025-05-17 07:07:00,Wolf,Hunting,24.30192,78.44258,20.0,Foggy,Forest,Afternoon
S0317,2025-05-12 07:53:00,Deer,Playing,24.328,78.34805,21.5,Windy,Forest,Night
S0318,2025-05-05 09:13:00,Fox,Grazing,24.4911,78.307,24.3,Cloudy,Desert,Morning
S0319,2025-05-13 11:55:00,Fox,Hunting,24.37853,78.61973,25.8,Sunny,Forest,Afternoon
S0320,2025-05-26 04:38:00,Elephant,Running,24.44745,78.60034,32.7,Cloudy,Wetland,Night
S0321,2025-05-03 08:34:00,Peacock,Resting,24.31192,78.56582,31.5,Cloudy,Grassland,Night
S0322,2025-05-04 13:15:00,Monkey,Running,24.46381,78.523,32.3,Windy,Forest,Afternoon
S0323,2025-05-31 03:47:00,Tiger,Socializing,24.35973,78.66329,23.8,Sunny,Grassland,Afternoon
S0324,2025-05-18 14:13:00,Boar,Socializing,24.35848,78.42648,22.2,Cloudy,Savanna,Evening
S0325,2025-05-11 23:39:00,Fox,Running,24.57554,78.36786,25.8,Foggy,Forest,Evening
S0326,2025-05-24 01:28:00,Tiger,Socializing,24.35397,78.34763,28.7,Sunny,Desert,Evening
S0327,2025-05-28 20:25:00,Rabbit,Playing,24.4144,78.53763,33.9,Cloudy,Grassland,Evening
S0328,2025-05-02 14:49:00,Boar,Hunting,24.68126,78.53179,23.6,Rainy,Grassland,Evening
S0329,2025-05-25 22:15:00,Deer,Resting,24.68127,78.52348,28.9,Rainy,Savanna,Evening
S0330,2025-05-21 19:29:00,Fox,Running,24.63977,78.68709,22.9,Cloudy,Desert,Afternoon
S0331,2025-05-20 03:51:00,Elephant,Running,24.53541,78.49067,22.0,Rainy,Forest,Morning
S0332,2025-05-11 18:51:00,Elephant,Running,24.48889,78.31947,29.7,Cloudy,Forest,Evening
S0333,2025-05-02 00:26:00,Elephant,Resting,24.44928,78.36984,33.7,Windy,Desert,Morning
S0334,2025-05-09 20:46:00,Fox,Resting,24.31544,78.37762,32.3,Foggy,Desert,Morning
S0335,2025-05-20 04:02:00,Rabbit,Socializing,24.69607,78.4909,28.4,Windy,Forest,Morning
S0336,2025-05-18 10:26:00,Elephant,Playing,24.31748,78.60227,22.2,Sunny,Desert,Morning
S0337,2025-05-04 13:57:00,Fox,Grazing,24.53998,78.58961,33.0,Rainy,Grassland,Morning
S0338,2025-05-02 10:49:00,Tiger,Hunting,24.5849,78.57808,26.2,Windy,Wetland,Night
S0339,2025-05-28 03:57:00,Boar,Alert,24.62915,78.57175,24.1,Cloudy,Savanna,Evening
S0340,2025-05-24 09:13:00,Elephant,Grazing,24.42554,78.668,34.5,Sunny,Forest,Afternoon
S0341,2025-05-03 20:41:00,Fox,Playing,24.59851,78.48051,23.0,Foggy,Desert,Morning
S0342,2025-05-20 12:59:00,Elephant,Socializing,24.67819,78.33225,33.9,Cloudy,Grassland,Afternoon
S0343,2025-05-13 13:46:00,Tiger,Hunting,24.49018,78.49691,33.6,Cloudy,Forest,Evening
S0344,2025-05-14 21:25:00,Wolf,Resting,24.68952,78.56191,26.4,Cloudy,Wetland,Evening
S0345,2025-05-13 14:03:00,Tiger,Grazing,24.38881,78.6872,28.4,Sunny,Grassland,Evening
S0346,2025-05-04 05:35:00,Fox,Socializing,24.48967,78.36779,19.3,Cloudy,Grassland,Morning
S0347,2025-05-23 12:30:00,Leopard,Hunting,24.6186,78.53131,33.9,Windy,Savanna,Night
S0348,2025-05-11 03:26:00,Elephant,Hunting,24.36854,78.60316,24.2,Sunny,Desert,Afternoon
S0349,2025-05-18 19:38:00,Elephant,Grazing,24.69898,78.65991,31.6,Foggy,Desert,Afternoon
S0350,2025-05-08 08:47:00,Rabbit,Grazing,24.60293,78.43367,23.2,Foggy,Savanna,Morning
S0351,2025-05-23 06:27:00,Fox,Resting,24.6779,78.54721,30.5,Windy,Wetland,Morning
S0352,2025-05-23 11:29:00,Fox,Resting,24.47055,78.62328,23.7,Foggy,Savanna,Evening
S0353,2025-05-05 14:28:00,Peacock,Resting,24.3466,78.69576,25.2,Foggy,Savanna,Night
S0354,2025-05-11 13:19:00,Elephant,Hunting,24.31183,78.50181,30.0,Foggy,Desert,Afternoon
S0355,2025-05-20 11:50:00,Boar,Grazing,24.64132,78.55555,29.7,Sunny,Wetland,Evening
S0356,2025-05-12 18:09:00,Leopard,Grazing,24.33398,78.32301,23.0,Foggy,Forest,Night
S0357,2025-05-19 06:24:00,Monkey,Resting,24.48064,78.57229,20.7,Cloudy,Savanna,Evening
S0358,2025-05-02 01:26:00,Elephant,Running,24.42729,78.36614,34.9,Foggy,Savanna,Morning
S0359,2025-05-10 16:37:00,Wolf,Hunting,24.30579,78.32744,34.7,Rainy,Desert,Afternoon
S0360,2025-05-14 21:18:00,Rabbit,Playing,24.53675,78.39565,34.2,Foggy,Desert,Night
S0361,2025-05-06 13:26:00,Wolf,Grazing,24.33934,78.50153,34.4,Rainy,Grassland,Evening
S0362,2025-05-14 10:44:00,Rabbit,Hunting,24.59131,78.54111,27.7,Rainy,Wetland,Night
S0363,2025-05-05 21:17:00,Wolf,Resting,24.40554,78.33557,18.1,Cloudy,Forest,Night
S0364,2025-05-26 10:55:00,Fox,Grazing,24.65843,78.43325,30.7,Rainy,Wetland,Afternoon
S0365,2025-05-02 09:41:00,Rabbit,Hunting,24.31754,78.45365,27.2,Rainy,Forest,Evening
S0366,2025-05-11 01:53:00,Rabbit,Running,24.38307,78.33273,29.7,Cloudy,Wetland,Evening
S0367,2025-05-22 19:56:00,Tiger,Playing,24.36937,78.33239,29.3,Rainy,Savanna,Morning
S0368,2025-05-20 14:15:00,Leopard,Socializing,24.45273,78.30473,34.0,Sunny,Desert,Evening
S0369,2025-05-23 17:57:00,Deer,Running,24.42664,78.40958,34.7,Sunny,Grassland,Night
S0370,2025-05-18 23:55:00,Tiger,Playing,24.36157,78.55242,21.6,Cloudy,Grassland,Afternoon
S0371,2025-05-07 11:22:00,Fox,Socializing,24.53568,78.6081,28.6,Rainy,Desert,Morning
S0372,2025-05-27 05:13:00,Wolf,Grazing,24.36456,78.48961,19.5,Rainy,Savanna,Afternoon
S0373,2025-05-14 14:46:00,Elephant,Alert,24.38668,78.52863,29.6,Rainy,Forest,Evening
S0374,2025-05-23 08:35:00,Deer,Grazing,24.45155,78.53837,24.7,Sunny,Desert,Evening
S0375,2025-05-26 01:55:00,Monkey,Playing,24.35886,78.46473,27.2,Cloudy,Desert,Evening
S0376,2025-05-05 06:04:00,Leopard,Hunting,24.58856,78.5058,20.5,Windy,Forest,Morning
S0377,2025-05-04 01:11:00,Leopard,Resting,24.44255,78.60286,28.8,Cloudy,Forest,Morning
S0378,2025-05-16 11:15:00,Monkey,Running,24.44967,78.48558,24.8,Windy,Desert,Afternoon
S0379,2025-05-23 15:33:00,Fox,Resting,24.34378,78.46855,34.1,Sunny,Wetland,Morning
S0380,2025-05-14 19:38:00,Leopard,Playing,24.49764,78.64296,24.3,Rainy,Wetland,Morning
S0381,2025-05-22 11:29:00,Boar,Socializing,24.4764,78.44505,23.2,Windy,Forest,Morning
S0382,2025-05-23 00:54:00,Deer,Hunting,24.32278,78.50166,29.4,Windy,Savanna,Afternoon
S0383,2025-05-15 16:04:00,Elephant,Hunting,24.58908,78.56143,21.8,Rainy,Wetland,Afternoon
S0384,2025-05-20 21:17:00,Monkey,Alert,24.43701,78.57227,21.5,Windy,Savanna,Evening
S0385,2025-05-19 14:15:00,Peacock,Grazing,24.64838,78.3532,18.6,Cloudy,Grassland,Night
S0386,2025-05-12 14:31:00,Peacock,Hunting,24.56969,78.50846,25.8,Windy,Desert,Afternoon
S0387,2025-05-18 12:10:00,Fox,Playing,24.51648,78.50184,18.3,Cloudy,Grassland,Morning
S0388,2025-05-19 12:25:00,Monkey,Running,24.52535,78.3595,31.9,Windy,Forest,Afternoon
S0389,2025-05-19 07:32:00,Tiger,Socializing,24.64267,78.57088,28.2,Windy,Wetland,Afternoon
S0390,2025-05-13 08:22:00,Peacock,Socializing,24.46926,78.61366,28.7,Windy,Grassland,Afternoon
S0391,2025-05-09 10:12:00,Fox,Hunting,24.65453,78.52321,32.2,Sunny,Savanna,Evening
S0392,2025-05-24 08:53:00,Wolf,Resting,24.49122,78.66154,32.1,Windy,Savanna,Evening
S0393,2025-05-26 18:31:00,Elephant,Running,24.41798,78.32662,27.6,Rainy,Desert,Evening
S0394,2025-05-21 08:19:00,Leopard,Running,24.60709,78.45287,25.3,Cloudy,Desert,Evening
S0395,2025-05-06 20:49:00,Rabbit,Socializing,24.46505,78.44438,30.5,Rainy,Wetland,Night
S0396,2025-05-13 09:03:00,Rabbit,Running,24.68932,78.44869,19.3,Rainy,Savanna,Morning
S0397,2025-05-18 21:31:00,Peacock,Socializing,24.55451,78.45525,31.2,Rainy,Savanna,Evening
S0398,2025-05-06 13:05:00,Leopard,Grazing,24.53348,78.58349,27.6,Rainy,Forest,Night
S0399,2025-05-31 03:08:00,Elephant,Socializing,24.36813,78.3954,33.1,Cloudy,Wetland,Night
S0400,2025-05-09 03:40:00,Deer,Playing,24.30146,78.45561,32.9,Windy,Savanna,Evening
S0401,2025-05-07 22:46:00,Rabbit,Hunting,24.42095,78.67839,28.9,Windy,Grassland,Morning
S0402,2025-05-03 22:27:00,Leopard,Socializing,24.64845,78.6631,25.8,Windy,Grassland,Night
S0403,2025-05-04 21:08:00,Deer,Grazing,24.60819,78.37986,25.5,Foggy,Wetland,Night
S0404,2025-05-11 09:04:00,Leopard,Grazing,24.51546,78.31041,24.0,Cloudy,Desert,Afternoon
S0405,2025-05-22 14:15:00,Tiger,Hunting,24.32446,78.35279,31.6,Foggy,Forest,Night
S0406,2025-05-14 09:08:00,Peacock,Alert,24.36499,78.55256,27.2,Windy,Wetland,Afternoon
S0407,2025-05-11 19:38:00,Deer,Alert,24.5801,78.50452,21.3,Cloudy,Desert,Night
S0408,2025-05-10 13:30:00,Rabbit,Socializing,24.38561,78.55162,18.8,Sunny,Grassland,Morning
S0409,2025-05-14 12:04:00,Fox,Socializing,24.34483,78.60095,23.2,Cloudy,Savanna,Morning
S0410,2025-05-07 16:23:00,Elephant,Running,24.61821,78.30696,27.3,Foggy,Wetland,Morning
S0411,2025-05-20 22:12:00,Rabbit,Socializing,24.52988,78.3278,21.8,Rainy,Grassland,Night
S0412,2025-05-15 00:02:00,Monkey,Playing,24.36709,78.45389,22.3,Foggy,Wetland,Morning
S0413,2025-05-21 05:27:00,Rabbit,Grazing,24.65296,78.69636,21.5,Rainy,Grassland,Night
S0414,2025-05-07 01:26:00,Deer,Grazing,24.54559,78.4297,19.4,Windy,Savanna,Afternoon
S0415,2025-05-22 17:21:00,Deer,Resting,24.3518,78.52564,29.8,Windy,Wetland,Evening
S0416,2025-05-14 19:40:00,Peacock,Grazing,24.56856,78.69188,18.1,Cloudy,Forest,Night
S0417,2025-05-11 23:16:00,Boar,Hunting,24.45838,78.36182,29.2,Rainy,Grassland,Night
S0418,2025-05-06 13:11:00,Elephant,Alert,24.56573,78.35854,29.3,Foggy,Grassland,Evening
S0419,2025-05-26 20:17:00,Leopard,Playing,24.41837,78.33211,32.5,Windy,Grassland,Morning
S0420,2025-05-28 04:30:00,Peacock,Running,24.43042,78.41478,18.5,Rainy,Grassland,Afternoon
S0421,2025-05-29 08:42:00,Tiger,Playing,24.55857,78.63537,32.4,Foggy,Forest,Night
S0422,2025-05-03 09:32:00,Peacock,Hunting,24.59246,78.61484,28.2,Sunny,Desert,Evening
S0423,2025-05-18 15:24:00,Fox,Playing,24.36419,78.30849,33.0,Sunny,Wetland,Evening
S0424,2025-05-11 05:37:00,Deer,Alert,24.59344,78.6289,23.4,Foggy,Grassland,Evening
S0425,2025-05-14 00:16:00,Tiger,Socializing,24.61953,78.43467,28.6,Sunny,Grassland,Morning
S0426,2025-05-28 01:24:00,Tiger,Running,24.59538,78.64494,26.0,Windy,Savanna,Morning
S0427,2025-05-16 11:18:00,Wolf,Alert,24.57042,78.40482,21.7,Cloudy,Wetland,Morning
S0428,2025-05-04 22:30:00,Monkey,Hunting,24.52351,78.40105,33.9,Sunny,Wetland,Morning
S0429,2025-05-22 15:26:00,Peacock,Resting,24.49939,78.63334,32.4,Foggy,Forest,Morning
S0430,2025-05-03 13:45:00,Fox,Alert,24.46555,78.64036,25.7,Windy,Savanna,Night
S0431,2025-05-29 21:51:00,Rabbit,Resting,24.31171,78.44449,21.3,Cloudy,Grassland,Night
S0432,2025-05-24 05:37:00,Leopard,Playing,24.34635,78.66638,26.9,Foggy,Forest,Morning
S0433,2025-05-03 23:57:00,Fox,Alert,24.69867,78.65123,18.6,Windy,Desert,Night
S0434,2025-05-07 20:00:00,Boar,Running,24.39885,78.67748,33.3,Foggy,Wetland,Afternoon
S0435,2025-05-23 09:40:00,Tiger,Alert,24.41445,78.31398,28.2,Rainy,Savanna,Morning
S0436,2025-05-26 18:05:00,Deer,Socializing,24.38453,78.51258,31.4,Foggy,Savanna,Afternoon
S0437,2025-05-26 17:42:00,Peacock,Playing,24.44266,78.54286,24.9,Cloudy,Forest,Night
S0438,2025-05-06 20:09:00,Leopard,Running,24.62364,78.49511,23.8,Windy,Forest,Night
S0439,2025-05-23 21:08:00,Monkey,Hunting,24.39496,78.34082,33.4,Windy,Savanna,Morning
S0440,2025-05-22 17:53:00,Peacock,Alert,24.56716,78.47377,28.1,Foggy,Wetland,Night
S0441,2025-05-12 02:34:00,Rabbit,Socializing,24.34802,78.41717,25.3,Cloudy,Wetland,Morning
S0442,2025-05-27 20:03:00,Leopard,Resting,24.49099,78.57002,30.3,Foggy,Forest,Morning
S0443,2025-05-14 20:57:00,Monkey,Socializing,24.52761,78.31948,27.8,Windy,Grassland,Morning
S0444,2025-05-15 11:44:00,Fox,Hunting,24.52584,78.49458,32.3,Rainy,Forest,Evening
S0445,2025-05-11 11:23:00,Boar,Running,24.3801,78.50301,23.9,Rainy,Wetland,Morning
S0446,2025-05-11 09:54:00,Monkey,Grazing,24.35071,78.49649,27.9,Sunny,Grassland,Morning
S0447,2025-05-29 01:52:00,Tiger,Running,24.52927,78.43408,33.4,Windy,Desert,Afternoon
S0448,2025-05-22 01:36:00,Wolf,Running,24.35862,78.38618,23.8,Cloudy,Desert,Evening
S0449,2025-05-14 00:52:00,Deer,Resting,24.61493,78.52865,25.4,Sunny,Savanna,Night
S0450,2025-05-19 05:57:00,Deer,Hunting,24.57571,78.30675,19.2,Cloudy,Savanna,Morning
S0451,2025-05-09 17:32:00,Deer,Resting,24.65685,78.30692,25.3,Sunny,Desert,Morning
S0452,2025-05-03 17:23:00,Peacock,Resting,24.49485,78.47198,34.0,Windy,Grassland,Afternoon
S0453,2025-05-30 09:11:00,Boar,Running,24.61799,78.31358,23.1,Foggy,Desert,Afternoon
S0454,2025-05-05 19:23:00,Tiger,Alert,24.42217,78.53439,26.3,Sunny,Desert,Morning
S0455,2025-05-04 09:24:00,Tiger,Playing,24.34251,78.33979,21.6,Windy,Wetland,Morning
S0456,2025-05-26 23:53:00,Elephant,Socializing,24.57442,78.65552,30.7,Foggy,Forest,Evening
S0457,2025-05-06 11:45:00,Tiger,Socializing,24.48604,78.56427,30.7,Windy,Savanna,Afternoon
S0458,2025-05-06 10:09:00,Peacock,Alert,24.61948,78.59053,28.9,Foggy,Wetland,Afternoon
S0459,2025-05-02 06:05:00,Elephant,Grazing,24.37105,78.39873,20.2,Rainy,Wetland,Evening
S0460,2025-05-08 00:06:00,Wolf,Grazing,24.55321,78.50266,32.9,Rainy,Grassland,Evening
S0461,2025-05-09 00:36:00,Peacock,Grazing,24.3315,78.60227,23.8,Windy,Desert,Afternoon
S0462,2025-05-09 10:25:00,Elephant,Hunting,24.35782,78.53055,21.6,Foggy,Wetland,Night
S0463,2025-05-19 13:00:00,Wolf,Resting,24.46676,78.4333,27.5,Windy,Savanna,Afternoon
S0464,2025-05-09 15:27:00,Monkey,Playing,24.39554,78.32418,19.5,Rainy,Savanna,Morning
S0465,2025-05-15 20:19:00,Peacock,Grazing,24.65186,78.45023,26.1,Cloudy,Forest,Night
S0466,2025-05-04 09:02:00,Elephant,Playing,24.59672,78.36541,27.7,Cloudy,Savanna,Night
S0467,2025-05-22 14:18:00,Rabbit,Alert,24.55488,78.31782,29.8,Foggy,Grassland,Evening
S0468,2025-05-21 19:40:00,Tiger,Grazing,24.63372,78.49975,18.4,Sunny,Wetland,Evening
S0469,2025-05-21 22:18:00,Rabbit,Grazing,24.50204,78.45871,28.3,Rainy,Grassland,Morning
S0470,2025-05-09 07:47:00,Peacock,Playing,24.55605,78.57719,31.2,Cloudy,Grassland,Afternoon
S0471,2025-05-13 09:12:00,Deer,Resting,24.58824,78.3879,25.7,Foggy,Desert,Morning
S0472,2025-05-18 03:16:00,Wolf,Grazing,24.56867,78.35371,33.2,Windy,Grassland,Night
S0473,2025-05-22 21:43:00,Leopard,Hunting,24.44711,78.40216,31.1,Rainy,Grassland,Afternoon
S0474,2025-05-08 09:37:00,Tiger,Hunting,24.46211,78.69918,23.4,Rainy,Forest,Night
S0475,2025-05-15 19:37:00,Boar,Hunting,24.65121,78.68506,32.3,Rainy,Wetland,Morning
S0476,2025-05-03 08:41:00,Peacock,Running,24.53108,78.37289,26.0,Sunny,Wetland,Afternoon
S0477,2025-05-08 12:31:00,Peacock,Grazing,24.64337,78.44353,29.7,Foggy,Desert,Night
S0478,2025-05-25 08:16:00,Deer,Grazing,24.6247,78.49242,20.8,Rainy,Wetland,Night
S0479,2025-05-16 15:45:00,Leopard,Hunting,24.64262,78.33511,33.7,Foggy,Desert,Night
S0480,2025-05-02 12:40:00,Fox,Alert,24.43919,78.49229,34.7,Cloudy,Desert,Morning
S0481,2025-05-09 03:43:00,Fox,Grazing,24.61662,78.5373,33.3,Foggy,Wetland,Afternoon
S0482,2025-05-29 13:39:00,Monkey,Running,24.52919,78.37569,18.5,Foggy,Grassland,Afternoon
S0483,2025-05-07 04:01:00,Deer,Alert,24.64445,78.65659,28.9,Windy,Grassland,Evening
S0484,2025-05-22 05:58:00,Fox,Hunting,24.65356,78.30459,28.3,Foggy,Forest,Evening
S0485,2025-05-23 11:10:00,Rabbit,Socializing,24.34296,78.47254,34.5,Foggy,Savanna,Afternoon
S0486,2025-05-21 19:21:00,Leopard,Playing,24.31546,78.64289,26.2,Windy,Wetland,Morning
S0487,2025-05-29 01:05:00,Leopard,Resting,24.45325,78.50152,26.0,Rainy,Forest,Night
S0488,2025-05-30 16:58:00,Peacock,Resting,24.65645,78.33554,33.0,Cloudy,Wetland,Night
S0489,2025-05-25 23:54:00,Rabbit,Playing,24.40876,78.6771,34.0,Cloudy,Forest,Morning
S0490,2025-05-03 14:49:00,Elephant,Grazing,24.48092,78.43871,24.7,Foggy,Grassland,Afternoon
S0491,2025-05-18 19:16:00,Wolf,Resting,24.50621,78.61227,21.8,Foggy,Wetland,Morning
S0492,2025-05-17 23:38:00,Rabbit,Resting,24.31804,78.60425,33.6,Windy,Grassland,Morning
S0493,2025-05-03 13:13:00,Monkey,Alert,24.45945,78.4226,27.9,Cloudy,Grassland,Afternoon
S0494,2025-05-14 05:28:00,Leopard,Running,24.51148,78.4892,34.6,Sunny,Forest,Afternoon
S0495,2025-05-11 03:24:00,Wolf,Grazing,24.63893,78.51807,27.0,Sunny,Grassland,Afternoon
S0496,2025-05-20 22:40:00,Boar,Socializing,24.51726,78.64848,23.7,Cloudy,Wetland,Morning
S0497,2025-05-07 07:33:00,Tiger,Hunting,24.69627,78.5236,34.2,Windy,Forest,Evening
S0498,2025-05-21 21:16:00,Rabbit,Playing,24.6832,78.41364,24.0,Rainy,Grassland,Afternoon
S0499,2025-05-05 12:38:00,Fox,Hunting,24.33379,78.57478,19.6,Windy,Wetland,Morning
S0500,2025-05-17 08:13:00,Wolf,Alert,24.46358,78.51309,30.9,Rainy,Wetland,Afternoon
S0501,2025-05-15 01:20:00,Elephant,Playing,24.46159,78.42668,19.0,Rainy,Wetland,Afternoon
S0502,2025-05-28 07:09:00,Boar,Grazing,24.62791,78.41555,26.4,Cloudy,Savanna,Afternoon
S0503,2025-05-14 17:40:00,Fox,Running,24.5845,78.42177,31.7,Cloudy,Wetland,Afternoon
S0504,2025-05-26 02:48:00,Fox,Alert,24.35168,78.32538,19.0,Foggy,Savanna,Evening
S0505,2025-05-07 04:19:00,Monkey,Alert,24.63794,78.30566,22.0,Rainy,Wetland,Evening
S0506,2025-05-24 18:22:00,Monkey,Alert,24.51635,78.42352,29.0,Sunny,Wetland,Night
S0507,2025-05-10 04:46:00,Tiger,Resting,24.332,78.51975,20.4,Cloudy,Forest,Afternoon
S0508,2025-05-18 05:46:00,Fox,Hunting,24.45121,78.68408,18.3,Rainy,Savanna,Afternoon
S0509,2025-05-07 06:33:00,Leopard,Running,24.33832,78.48679,32.9,Cloudy,Wetland,Afternoon
S0510,2025-05-18 17:44:00,Peacock,Socializing,24.30095,78.63368,21.2,Cloudy,Grassland,Evening
S0511,2025-05-21 22:59:00,Elephant,Socializing,24.57522,78.36855,18.4,Foggy,Wetland,Afternoon
S0512,2025-05-25 03:50:00,Rabbit,Resting,24.50922,78.46179,18.8,Rainy,Desert,Morning
S0513,2025-05-09 13:14:00,Peacock,Grazing,24.30641,78.3146,34.4,Rainy,Desert,Morning
S0514,2025-05-12 10:33:00,Tiger,Running,24.42934,78.67926,18.9,Foggy,Desert,Night
